epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,4,,0.06734702736139297,,,,,
0,9,,0.05911071226000786,,,,,
0,14,,0.05773956701159477,,,,,
0,19,,0.05417751520872116,,,,,
0,24,,0.04671240597963333,,,,,
0,29,,0.043509624898433685,,,,,
0,34,,0.03371836990118027,,,,,
0,39,,0.03927914425730705,,,,,
0,44,,0.03480299562215805,,,,,
0,49,,0.038634222000837326,,,,,
0,54,,0.032080091536045074,,,,,
0,59,,0.03289473429322243,,,,,
0,64,,0.03776900842785835,,,,,
0,69,,0.0332324244081974,,,,,
0,74,,0.033427681773900986,,,,,
0,79,,0.032865263521671295,,,,,
0,80,,,0.07393551617860794,3.825421094894409,0.0912623181939125,1.4339253902435303,0.042839013040065765
0,80,0.04471523314714432,,,,,,
1,84,,0.03685247153043747,,,,,
1,89,,0.030989497900009155,,,,,
1,94,,0.03725013509392738,,,,,
1,99,,0.03897476568818092,,,,,
1,104,,0.03235236555337906,,,,,
1,109,,0.03233068063855171,,,,,
1,114,,0.03196394443511963,,,,,
1,119,,0.029252050444483757,,,,,
1,124,,0.03379765897989273,,,,,
1,129,,0.0332573726773262,,,,,
1,134,,0.036890801042318344,,,,,
1,139,,0.038108039647340775,,,,,
1,144,,0.029488373547792435,,,,,
1,149,,0.032055772840976715,,,,,
1,154,,0.03493053838610649,,,,,
1,159,,0.03217460215091705,,,,,
1,161,,,0.08047862350940704,4.683192253112793,0.09763992577791214,1.3760960102081299,0.04423424229025841
1,161,0.033026326447725296,,,,,,
2,164,,0.03219737857580185,,,,,
2,169,,0.028587639331817627,,,,,
2,174,,0.02621549367904663,,,,,
2,179,,0.02836618572473526,,,,,
2,184,,0.0315069705247879,,,,,
2,189,,0.03243819251656532,,,,,
2,194,,0.032841186970472336,,,,,
2,199,,0.029364202171564102,,,,,
2,204,,0.029494747519493103,,,,,
2,209,,0.028764670714735985,,,,,
2,214,,0.030128300189971924,,,,,
2,219,,0.029724907130002975,,,,,
2,224,,0.03172503784298897,,,,,
2,229,,0.0305043775588274,,,,,
2,234,,0.028332579880952835,,,,,
2,239,,0.030007051303982735,,,,,
2,242,,,0.07983946800231934,3.5052742958068848,0.09982350468635559,1.3419041633605957,0.04489343613386154
2,242,0.03036472760140896,,,,,,
3,244,,0.031116332858800888,,,,,
3,249,,0.028751855716109276,,,,,
3,254,,0.02970355935394764,,,,,
3,259,,0.025503337383270264,,,,,
3,264,,0.027962714433670044,,,,,
3,269,,0.028228575363755226,,,,,
3,274,,0.03244764730334282,,,,,
3,279,,0.02632586844265461,,,,,
3,284,,0.02585926651954651,,,,,
3,289,,0.028567077592015266,,,,,
3,294,,0.028063172474503517,,,,,
3,299,,0.027197325602173805,,,,,
3,304,,0.03278782591223717,,,,,
3,309,,0.026987621560692787,,,,,
3,314,,0.03241676092147827,,,,,
3,319,,0.031096624210476875,,,,,
3,323,,,0.07965195924043655,2.4824812412261963,0.1002316027879715,1.3428092002868652,0.04529447853565216
3,323,0.028713839128613472,,,,,,
4,324,,0.028326161205768585,,,,,
4,329,,0.02871391363441944,,,,,
4,334,,0.027576671913266182,,,,,
4,339,,0.028736261650919914,,,,,
4,344,,0.02624828927218914,,,,,
4,349,,0.027005616575479507,,,,,
4,354,,0.02587360516190529,,,,,
4,359,,0.030309529975056648,,,,,
4,364,,0.02760300226509571,,,,,
4,369,,0.025672687217593193,,,,,
4,374,,0.028145471587777138,,,,,
4,379,,0.02508959360420704,,,,,
4,384,,0.02491525188088417,,,,,
4,389,,0.026893090456724167,,,,,
4,394,,0.024559808894991875,,,,,
4,399,,0.027792176231741905,,,,,
4,404,,0.02802426554262638,,,,,
4,404,,,0.08209434151649475,3.213644504547119,0.10602519661188126,1.269062876701355,0.04767629876732826
4,404,0.02684737928211689,,,,,,
5,409,,0.025978250429034233,,,,,
5,414,,0.025524388998746872,,,,,
5,419,,0.02613692544400692,,,,,
5,424,,0.02602916955947876,,,,,
5,429,,0.025738650932908058,,,,,
5,434,,0.025453869253396988,,,,,
5,439,,0.025911172851920128,,,,,
5,444,,0.023845765739679337,,,,,
5,449,,0.02531159296631813,,,,,
5,454,,0.0265121478587389,,,,,
5,459,,0.023350298404693604,,,,,
5,464,,0.024578189477324486,,,,,
5,469,,0.024721505120396614,,,,,
5,474,,0.023929990828037262,,,,,
5,479,,0.024129096418619156,,,,,
5,484,,0.02641160599887371,,,,,
5,485,,,0.08401554077863693,3.053382396697998,0.11146428436040878,1.307673454284668,0.051083773374557495
5,485,0.025412874296307564,,,,,,
